model,feature_removed,AUC,F1,ACC
LogisticRegression,baseline,0.8423,0.6942,0.8337
LogisticRegression,weight,0.8345,0.6884,0.8303
LogisticRegression,studied_credits,0.8422,0.6935,0.8333
LogisticRegression,num_of_prev_attempts,0.8420,0.6940,0.8336
LogisticRegression,prev_score,0.8434,0.6917,0.8318
LogisticRegression,prev_delay,0.7629,0.4911,0.7889
LogisticRegression,assessment_type,0.7743,0.4257,0.7505
LogisticRegression,age_band,0.8425,0.6936,0.8334
LogisticRegression,gender,0.8425,0.6936,0.8334

RandomForest,baseline,0.8913,0.7703,0.8825
RandomForest,weight,0.8382,0.6753,0.8293
RandomForest,studied_credits,0.8929,0.7745,0.8854
RandomForest,num_of_prev_attempts,0.8900,0.7715,0.8833
RandomForest,prev_score,0.9007,0.7823,0.8922
RandomForest,prev_delay,0.8597,0.7527,0.8797
RandomForest,assessment_type,0.8881,0.7680,0.8816
RandomForest,age_band,0.8935,0.7727,0.8843
RandomForest,gender,0.8935,0.7727,0.8843

GradientBoosting,baseline,0.9103,0.7852,0.8960
GradientBoosting,weight,0.8627,0.6893,0.8408
GradientBoosting,studied_credits,0.9101,0.7857,0.8962
GradientBoosting,num_of_prev_attempts,0.9098,0.7850,0.8959
GradientBoosting,prev_score,0.9076,0.7853,0.8961
GradientBoosting,prev_delay,0.8801,0.7646,0.8895
GradientBoosting,assessment_type,0.9078,0.7842,0.8953
GradientBoosting,age_band,0.9103,0.7850,0.8959
GradientBoosting,gender,0.9103,0.7850,0.8959

ExtraTrees,baseline,0.8749,0.7585,0.8742
ExtraTrees,weight,0.8185,0.6711,0.8229
ExtraTrees,studied_credits,0.8799,0.7678,0.8800
ExtraTrees,num_of_prev_attempts,0.8746,0.7611,0.8756
ExtraTrees,prev_score,0.8942,0.7785,0.8892
ExtraTrees,prev_delay,0.8518,0.7477,0.8754
ExtraTrees,assessment_type,0.8714,0.7544,0.8721
ExtraTrees,age_band,0.8779,0.7630,0.8773
ExtraTrees,gender,0.8779,0.7630,0.8773

KNN,baseline,0.8579,0.7325,0.8609
KNN,weight,0.8062,0.6496,0.8139
KNN,studied_credits,0.8615,0.7391,0.8639
KNN,num_of_prev_attempts,0.8590,0.7387,0.8655
KNN,prev_score,0.8643,0.7506,0.8704
KNN,prev_delay,0.8376,0.7257,0.8612
KNN,assessment_type,0.8549,0.7269,0.8581
KNN,age_band,0.8594,0.7358,0.8623
KNN,gender,0.8594,0.7358,0.8623
